[19:51:22.889] [T25] [DS=True] DEBUG | Log Started (v1.5.14)
[19:51:22.890] [T25] [DS=True] DEBUG | Defense Shields Mod found. API loaded successfully = True
[19:51:22.959] [T25] [DS=True] DEBUG | Faction cleanup: Removing 118/120 members from Space Pirates
[19:51:22.968] [T25] [DS=True] DEBUG | Faction cleanup: Removing 20/22 members from Space spiders
[19:51:22.971] [T25] [DS=True] DEBUG | Faction cleanup: Removing 4/5 members from Raiders
[19:51:22.971] [T25] [DS=True] DEBUG | Faction cleanup: Removing 2/4 members from Assert Inc
[19:51:26.495] [T25] [DS=True] WARNING | CubeGridMap.ctor: Grid 'space flight' was null or marked for close in constructor!
[20:50:17.975] [T25] [DS=True] WARNING | CubeGridMap.ctor: Grid 'space flight' was null or marked for close in constructor!
[21:02:18.275] [T25] [DS=True] WARNING | Something attempted to spawn 'Male Astronaut 2' which is not included in the AllowedBotSubtypes. Spawn aborted.
[21:02:20.676] [T25] [DS=True] WARNING | Something attempted to spawn 'Female Astronaut 4' which is not included in the AllowedBotSubtypes. Spawn aborted.
[21:09:15.838] [T25] [DS=True] DEBUG | Attempting to pair bot faction with i like pie
[21:09:15.838] [T25] [DS=True] DEBUG |  -> Paired i like pie with Perceptive Encoding
[22:07:01.307] [T25] [DS=True] DEBUG | Unloading mod data. Registered = True
[22:07:01.318] [T25] [DS=True] DEBUG | Mod unloaded successfully
