Name, BaseDamage, BaseDamageType, AreaDamageType, DetDamageType, ShieldDamageType, LargeGridModifier, SmallGridModifier, ArmorModifier, LightArmorModifier, HeavyArmorModifier, NonArmorModifier, ShieldsModifier, ShieldBypass, FragmentName, FragmentQuanty, FragmentDegrees, BBHRadius, BBHDamage, BBHDepth, BBHMaxAbsorb, BBHFalloff, EOLRadius, EOLDamage, EOLDepth, EOLMaxAbsorb, EOLFalloff, AccelPerSec, MaxSpeed, MaxTrajectory, MaxLifeTime
Basic_Rocket, 1, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 1, -1, Rocket_Frag, 30, 90, 0, 0, 0, 0, NoFallOff, 5, 500, 1, 0, Linear, 2500, 250, 3000, 1000
Rocket_Frag, 100, Energy, Energy, Energy, Energy, 1, 0.5, -1, -1, -1, -1, 1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 5000, 15, 2
Advanced_Rocket_Launch, 1, Energy, Energy, Energy, Energy, 0, 0, 0, 0, 0, 0, 0, 0, Advanced_Rocket, 1, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 60, 500, 4000, 35
Advanced_Rocket, 1, Energy, Energy, Energy, Energy, -1, -1, -1, -1, -1, -1, 1, -1, Rocket_Frag, 30, 270, 0, 0, 0, 0, NoFallOff, 5, 500, 1, 0, Linear, 100, 500, 4000, 720
Rocket_Frag, 100, Energy, Energy, Energy, Energy, 1, 0.5, -1, -1, -1, -1, 1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 5000, 15, 2
Pistol, 30, Kinetic, Energy, Energy, Energy, 0.5, 0.5, -1, -1, -1, -1, 1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 300, 250, 60
Pistol, 20, Kinetic, Energy, Energy, Energy, 0.5, 0.5, -1, -1, -1, -1, 1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 300, 250, 60
Pistol, 30, Kinetic, Energy, Energy, Energy, 0.5, 0.5, -1, -1, -1, -1, 1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 300, 250, 60
FlareBase, 1, Kinetic, Energy, Energy, Energy, 0.5, 0.5, -1, -1, -1, -1, 1, -1, FlareAmmo, 1, 1, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 50, 50, 100, 120
FlareAmmo, 1, Kinetic, Energy, Energy, Energy, 0.5, 0.5, -1, -1, -1, -1, 1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 5, 20000, 3600
Shotgun, 108, Kinetic, Energy, Energy, Energy, 0.5, 0.5, -1, -1, -1, -1, 1, -1, Buckshot_Ammo, 7, 7, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1, 1, 1
Buckshot_Ammo, 8, Kinetic, Energy, Energy, Energy, 0.5, 0.5, -1, -1, -1, -1, 1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 200, 400, 120
Rifle, 50, Kinetic, Energy, Energy, Energy, 0.5, 0.5, -1, -1, -1, -1, 1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1000, 1500, 90
RifleTrace, 30, Kinetic, Energy, Energy, Energy, 0.5, 0.5, -1, -1, -1, -1, 1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 800, 1500, 90
Rifle_NoTrace, 30, Kinetic, Energy, Energy, Energy, 0.5, 0.5, -1, -1, -1, -1, 1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 800, 1500, 90
Rifle, 50, Kinetic, Energy, Energy, Energy, 0.5, 0.5, -1, -1, -1, -1, 1, -1, , 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 1000, 1500, 90
25mm NATO, 150, Kinetic, Kinetic, Kinetic, Kinetic, -1, -1, -1, 0.9, 0.4, -1, 2, -1, None, 0, 0, 0, 0, 0, 0, NoFallOff, 0, 0, 0, 0, NoFallOff, 0, 800, 1500, 300
