GridName, MainOwner, TotalDamage, PrimaryDamage, AOEDamage, ShieldDamage, ProjectileDamage
Small Grid 7998, xXHolicsXx, 67500, 0, 0, 67500, 0
(NPC-CCF) Alpha (C), , 162454, 162454, 0, 0, 0
Small Grid 2721, xXHolicsXx, 68697, 150, 0, 68547, 0
, , 8, 8, 0, 0, 0
, , 50, 50, 0, 0, 0
, , 388, 388, 0, 0, 0
, , 825, 825, 0, 0, 0
(NPC-CMF) Heretics Bane (A), , 369492, 315492, 54000, 0, 0
(NPC-CD) Trident Drone (H), , 85443, 0, 0, 85443, 0
(NPC-ACS) The Stingray 01-AT1, , 258960, 55860, 0, 203100, 0
, , 210, 210, 0, 0, 0
, , 90, 90, 0, 0, 0
, , 705, 705, 0, 0, 0
, , 1116, 1116, 0, 0, 0
, , 720, 720, 0, 0, 0
, , 1485, 1365, 0, 120, 0
, , 2608, 2608, 0, 0, 0
(NPC-CD) Trident Drone (H), , 100617, 17, 100600, 0, 0
, , 1020, 1020, 0, 0, 0
, , 1905, 1905, 0, 0, 0
, , 2160, 2160, 0, 0, 0
, , 1815, 1815, 0, 0, 0
(NPC-CCF) Alpha (B), , 197340, 197340, 0, 0, 0
(NPC-CCF) Tear of the Sun, , 11008, 0, 0, 11008, 0
(NPC-AI) Research Base #43, , 543832, 215632, 0, 328200, 0
(NPC-AI) Research Base #43, , 6643, 6643, 0, 0, 0
(NPC-RVR) Devourer, , 4173183, 4173183, 0, 0, 0
(NPC-ORK) Shootaboat, , 136000, 0, 0, 136000, 0
, , 250, 250, 0, 0, 0
Small Grid 2281, , 231635, 121069, 0, 110566, 0
BOP Earth Base, , 1184833, 851742, 0, 333091, 0
Small Grid 3211, , 1526952, 831310, 0, 695642, 0
Steener Base, , 569892, 198799, 0, 371093, 0
Developed Base - Grid 4718, xXHolicsXx, 1538517, 1011431, 0, 527012, 74
Static Grid 3247, , 207113, 207113, 0, 0, 0
Small Grid 7313, xXHolicsXx, 1519929, 762622, 0, 757307, 0
Small Grid 5893, xXHolicsXx, 21000, 0, 0, 21000, 0
Silverbane, , 780, 780, 0, 0, 0
Pyro, , 3937, 3937, 0, 0, 0
