06-01-23_19-50-27-782 - Logging Started
19-51-00-031 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[6] Targ:[6] Bloc:[0] Aim:[6] CCast:[0] RndCast[0] TopCast[0]
19-51-03-030 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-51-06-019 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-51-09-030 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-51-12-020 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-51-15-027 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-51-18-025 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-51-21-026 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-51-24-023 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-51-27-027 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-51-30-028 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-51-33-032 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-51-36-023 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-51-39-037 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-51-42-019 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-51-45-026 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-51-48-025 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-51-51-027 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-51-54-027 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-51-57-042 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-52-00-029 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-52-03-037 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-52-06-038 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-52-09-025 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-52-12-038 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-52-15-031 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-52-18-026 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-52-21-027 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-52-24-025 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-52-27-028 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-52-30-025 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-52-33-034 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-52-36-019 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-52-39-020 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-52-42-030 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-52-45-034 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-52-48-276 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-52-51-273 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-52-54-260 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-52-57-279 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-00-264 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-03-262 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-06-261 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-09-275 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-12-273 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-15-265 - (STATS) -------- AIs:[21] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-18-475 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-21-563 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-27-042 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-30-025 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-33-031 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-36-041 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-39-037 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-42-226 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-45-229 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-48-226 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-51-214 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-54-209 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-53-57-227 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-00-219 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-03-225 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-06-218 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-09-211 - (STATS) -------- AIs:[18] - WcBlocks:[128] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-12-332 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-15-330 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-18-346 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-21-343 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-24-345 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-27-324 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-30-328 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-33-331 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-54-36-334 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
