Name, MaxDist, MinDist, DevShotAngle, AimTolerance, AimLeadingPrediction, RotateRate, ElevateRate, IdlePower, RateOfFire, ReloadTime, HeatPerShot, MaxHeat, HeatSinkRate, ShotsInBurst, DelayAfterBurst, AmmoName
Basic Rocket, 0, 0, 3, 0, Off, 0, 0, 0, 60, 245, 1, 70000, 9000000, 0, 0,    Basic_Rocket   Rocket_Frag
Advanced Rocket, 0, 0, 3, 0, Off, 0, 0, 0, 60, 365, 1, 70000, 9000000, 0, 0,    Advanced_Rocket_Launch   Advanced_Rocket   Rocket_Frag
Elite Pistol, 0, 0, 1, 0, Off, 0, 0, 0, 200, 84, 1, 70000, 9000000, 1, 10,    Pistol
Full Auto Pistol, 0, 0, 4, 0, Off, 0, 0, 0, 1000, 108, 1, 70000, 9000000, 0, 0,    Pistol
Semi Auto Pistol, 0, 0, 2, 0, Off, 0, 0, 0, 200, 84, 1, 70000, 9000000, 1, 6,    Pistol   FlareBase   FlareAmmo
Basic Rifle, 0, 0, 1, 0, Off, 0, 0, 0, 240, 84, 1, 70000, 9000000, 1, 10,    Shotgun   Buckshot_Ammo
Basic Rifle, 0, 0, 0.5, 0, Off, 0, 0, 0, 120, 144, 1, 70000, 9000000, 1, 30,    Rifle
Basic Rifle, 0, 0, 3, 0, Off, 0, 0, 0, 800, 216, 1, 70000, 9000000, 1, 0,    RifleTrace   Rifle_NoTrace
Basic Rifle, 0, 0, 1.5, 0, Off, 0, 0, 0, 600, 144, 1, 70000, 9000000, 3, 20,    Rifle
MCRN PDC, 0, 0, 0.3, 4, Accurate, 0.05, 0.05, 0.25, 2600, 240, 3, 6000, 130, 0, 0,    25mm NATO   NDeU_Ammo
MCRN PDC, 0, 0, 0.3, 4, Accurate, 0.05, 0.05, 0.25, 2600, 240, 3, 6000, 130, 0, 0,    25mm NATO   NDeU_Ammo
RightRetractPDC, 0, 0, 0.3, 4, Accurate, 0.05, 0.05, 0, 2600, 240, 3, 6000, 130, 0, 0,    25mm NATO   NDeU_Ammo
RightRetractPDC, 0, 0, 0.3, 4, Accurate, 0.05, 0.05, 0, 2600, 240, 3, 6000, 130, 0, 0,    25mm NATO   NDeU_Ammo
LeftRetractPDC, 0, 0, 0.3, 4, Accurate, 0.05, 0.05, 0, 2600, 240, 3, 6000, 130, 0, 0,    25mm NATO   NDeU_Ammo
LeftRetractPDC, 0, 0, 0.3, 4, Accurate, 0.05, 0.05, 0, 2600, 240, 3, 6000, 130, 0, 0,    25mm NATO   NDeU_Ammo
TopRetractPDC, 0, 0, 0.3, 4, Accurate, 0.05, 0.05, 0, 2600, 240, 3, 6000, 130, 0, 0,    25mm NATO   NDeU_Ammo
TopRetractPDC, 0, 0, 0.3, 4, Accurate, 0.05, 0.05, 0, 2600, 240, 3, 6000, 130, 0, 0,    25mm NATO   NDeU_Ammo
